Section Header,Content,Source
How will I be notified when I have an eBill (electronic bill)?  ,"
An email will be sent to your Salem State email address, so please check your Salem State email on a regular basis. If you have other authorized users, they will receive an email as well to their individual email address.",Student Accounts FAQ's.csv
How can I pay with a 529 Plan?,"For student’s sending payment to Salem State University from a 529 Plan, please use the following address to mail paper checks. Please make sure your student ID # is somewhere on the check for processing.

Student Navigation Center
Attention: Student Accounts
352 Lafayette Street
Salem, MA 01970",Student Accounts FAQ's.csv
How do I apply an outside scholarship to my bill? ,"If you have received a scholarship from a source outside of Salem State University, please make a copy of the scholarship award letter and complete one of the following:

- Email a copy of the scholarship award letter to: navcenter@salemstate.edu

- Stop by the Student Navigation Center to drop off a copy in person

- Mail a copy of the scholarship award letter to:

Salem State University
Attn: Student Navigation Center
352 Lafayette Street
Salem, MA 01970
",Student Accounts FAQ's.csv
What happens if I don't pay my bill on time? ,"If payment of your tuition bill is not received on time, you may be assessed late fees and you will have a financial hold placed on your account. That financial hold will prevent you from registering for the next term until your bill has been paid in full. Once the next semester starts, any students who are not registered will be withdrawn from the university. ",Student Accounts FAQ's.csv
How do international students pay their bill? ,https://ask.salemstate.edu/kb/international-payments ,Student Accounts FAQ's.csv
When are bills due each semester?,"Fall tuition bills are due the second Wednesday of August.

Spring tuition bills are due the second Wednesday of January.

Summer I & Summer II bills are due by June 25.",Student Accounts FAQ's.csv
How can I understand my bill?,https://ask.salemstate.edu/kb/how-understand-my-bill ,Student Accounts FAQ's.csv
How do i view my bill?,https://ask.salemstate.edu/kb/how-view-my-bill,Student Accounts FAQ's.csv
What are different kinds of holds?,https://ask.salemstate.edu/kb/what-are-types-holds-could-be-my-account,Student Accounts FAQ's.csv
How quickly will a hold be lifted once I make a payment? ,"Payments update every hour once a payment is made.

-If the payment was a credit card, the payment will go through instantly.
-If the payment is an Echeck, it may take a few days for the payment to clear your account.
-If the payment was mailed, it can take 5-10 business days for processing.",Student Accounts FAQ's.csv
How do I log into Navigator?,https://ask.salemstate.edu/kb/logging-navigator,Student Accounts FAQ's.csv
Can my parent or guardian have access to my account? ,You can add your parent or guardian as an authorized user of your account. You can find directions for both students granting access and parents/guardians logging in here: https://ask.salemstate.edu/kb/how-assign-authorized-user ,Student Accounts FAQ's.csv
What do all of these different fees mean? ,Find the breakdown of tuition and fees here: https://ask.salemstate.edu/kb/understanding-tuition-fees ,Student Accounts FAQ's.csv
How do I appeal my residency status? ,Find the residency appeal form and directions for your appeal here: https://ask.salemstate.edu/kb/how-do-appeal-my-residency-status  ,Student Accounts FAQ's.csv
How do I waive out of or enrill in health insurance? ,"Find the health unsurance requirements, deadlines, and directions on how to waive or enrolling your insurance here: https://ask.salemstate.edu/kb/how-waive-out-or-enroll-health-insurance  ",Student Accounts FAQ's.csv
How do I set up a payment plan? ,Find instructions on how to set up your payment plan here: https://ask.salemstate.edu/kb/how-set-payment-plan,Student Accounts FAQ's.csv
How do I make a payment to my payment plan? ,Directions on paying your bill: https://ask.salemstate.edu/kb/how-pay-my-bill ,Student Accounts FAQ's.csv
"I've set up a payment plan, why do I keep receiveing a bill? ","When a student signs up for a monthly payment plan they are required to pay a set amount of money each month to Salem State.

Since a payment plan is not like a loan, which directly pays out in full to SSU, we receive your payments on a monthly basis and apply them to your bill. A monthly statement is provided online to show these payments deducted from your outstanding balance.

Receiving monthly billing can also help students to determine if any corrections are needed to their budget. Examples might be: additional costs from adding a class, reduction in financial aid, or a miscalculation of your actual budget. ",Student Accounts FAQ's.csv
Are there tution remission and/or discounts?,"Students age 60 and over are eligible to receive a discount on your tuition; fees not included. 

First-time students who wish to receive this discount should call the Student Navigation Center at 978.542.8000 and speak with a Student Service Specialist. You will be asked to email a valid government issued ID to navcenter@salemstate.edu to secure your discount.

Returning students who have previously provided their ID will receive the discount each semester they are enrolled. The discount will display when viewing your account activity.",Student Accounts FAQ's.csv
What is tuition remission? Do I qualify?,State employees and their families may be eligible for tuition remission. Interested employees should contact their HR departments for details. Find additional tuition remission information here: https://ask.salemstate.edu/kb/tuition-remission-information ,Student Accounts FAQ's.csv
How do I get a refund? ,"If there is a credit on your student account a refund will typically be created for you within 2-4 weeks. A student can request a direct deposit for their refund. If they do not, the refund will be a paper check.

If a payment was made by a credit card, the refund will typically go back to the credit card. Learn more on how you can set up your eRfefund account: https://ask.salemstate.edu/kb/how-set-direct-deposit-erefund ",Student Accounts FAQ's.csv
What s a refund? ,"If a student has a credit balance from excess financial aid, dropped classes, or an overpayment, they can receive the funds through our eRefund process directly into their checking or savings account. Financial Aid refunds are issued in October for the fall semester, and in February for the spring semester.",Student Accounts FAQ's.csv
What is the refund policy? ,Find information on percentages of tuition refunded by date (time of withdrawal) and other important information: https://www.salemstate.edu/campus-life/student-navigation-center/student-accounts/refund-policy,Student Accounts FAQ's.csv
When will I receive my refund from dropping a course?,Refunds are sent to students approximately 6 weeks after withdrawal notification by the student.,Student Accounts FAQ's.csv
"Will I receive a refund if my class in cancelled?
","Tuition and fees are refunded if the university cancels the course.

",Student Accounts FAQ's.csv
I'm an undergraduate. Will I receive a refund if I drop from 15 credits to 12 credits?,"A matriculated day student carrying 12 or more credits is billed at the full-time flat tuition and fee rate. As there is no additional charge for credits in excess of 12, there is no refund if credits are reduced from 15 to 12.

",Student Accounts FAQ's.csv
I'm a graduate student. How do I drop a class and request a refund?,Find info about graduate course refunds and appeals: https://ask.salemstate.edu/kb/how-request-refund-after-withdrawing-graduate-course,Student Accounts FAQ's.csv
How can I contact the Salem State collections department?,You can reach the collections department by email (collections@salemstate.edu) or call 978.542.2150.,Student Accounts FAQ's.csv
How do I dispute a charge?,Charge disputes should be submitted in writing to the collections department:collections@salemstate.edu  ,Student Accounts FAQ's.csv
How can I pay my balance in full? ,"As long as your account is still with SSU, you can pay through your Navigator account.

If your account is with a collection agency, you will need to pay them directly.",Student Accounts FAQ's.csv
Which agencies does Salem State work with?,"F.H.Cann and Associates: 877.750.9804
Radius Global Solutions: 855.753.1581",Student Accounts FAQ's.csv
How long will it take to clear my collections hold once I have paid a payment plan?,Please email collections when you have made your final payment to ensure your holds are lifted as soon as possible.,Student Accounts FAQ's.csv
How long will it take to clear my collections hold once I have paid a collections agency?,"Please allow 3-5 business days once you have paid an agency for the funds to be transferred to SSU. If you require immediate action, please email collections.",Student Accounts FAQ's.csv
I've been away from Salem State for a long time. How do I log in to Navigator?,Please contact the IT Helpdesk (it-helpdesk@salenstate.edu) for assistance getting back into your Navigator account if it has been some time since you have logged in. ,Student Accounts FAQ's.csv
What is a Financial Obligation Agreement? How do I complete it?,"All students must acknowledge their financial obligation to the university and agree to the terms once per academic year at the university.

This agreement (https://ask.salemstate.edu/kb/how-complete-your-financial-obligation-agreement) acknowledges that:

-you understand and agree to your responsibility as a student for the cost and expense of all tuition, fees, housing, meal plan costs and other expenses;
                                                                                                                                                                                             -that you will be billed via your university email address, that you are responsible for keeping your contact information current with the university,
                                                                                                                                                                                             -that you are responsible for knowing the rules around registering and withdrawing from classes, and
                                                                                                                                                                                        -that if there is a financial hold on your account, you may be denied services including, but not limited to, registering for classes, receiving your, diploma, or receiving your academic transcript. ",Student Accounts FAQ's.csv
What is Tuition insurance?,"Tuition insurance reimburses you for lost college costs if you leave school for a qualified reason. It typically covers nonrefunded money for tuition, fees, room and board. Qualified reasons are normally health-related and can include unexpected injury and illness, ongoing or chronic illness, and mental health conditions. This optional coverage can offer peace of mind. ",Tuition Insurance.csv
How to Enroll in tuition insurance?,"Please visit Salem State's GradGuard page here: https://gradguard.com/tuition?school_id=5671 for a free quote and to learn more. To learn how to enroll check this page here: https://ask.salemstate.edu/kb/how-enroll-tuition-insurance 

For students/families interested in purchasing a policy or getting additional information, please use this toll-free number:                                                                                                                                                                                                                           

877-794-6603                                                                                                                                                                    For students/families that have already purchased a policy and need to submit a claim, please use this toll-free number:

888-427-5045                                                              ",Tuition Insurance.csv
Give me additional information on Tuition Insurance? ,Here is more informattion: https://ask.salemstate.edu/kb/tuition-insurance-faq ,Tuition Insurance.csv
How to understand your tuition and Fees  ,What do your tuition and fee dollars support? Use our descriptions below to understand more about the fees on your bill,Understanding your tution and fees.csv
Tuition ,"Set by the state to support instructional expenses (e.g. faculty), academic programs (e.g. library, tutoring, et al) and student-related programs (e.g. student health services) along with general operating expenses of the university.          The tuition charge can appear as day, 4+1 program, continuing pro studies, graduate and/or space available. 

Note: The cost per credit for tuition and fees remains the same regardless of the mode of instruction (Face-to-Face, Hybrid Asynchronous, Hybrid Synchronous, Asynchronous Online, Blended Online, Synchronous Online, Hy-flex).

Day: Charged to students admitted in a program offered in the day school 

4+1: Charged to students admitted  in a joint undergraduate/graduate degree program 

Continuing Professional Studies: Charged to students admitted  in a program offered through the school of continuing and professional studies

Graduate: Charged to students admitted  in a program offered through the school of graduate studies

Space Available: Charged to students not officially admitted into any program OR those admitted to a program offered through the school of continuing and professional studies AND who are enrolled in a course sponsored by the undergraduate day program. The cost per credit is equal to the continuing pro studies cost.",Understanding your tution and fees.csv
Fees ,"University Fee: Supports general operating expenses of the university, including academic, administrative, student services and facilities. The University Fee is charged at in-state and out-of-state rates based on student status.

Course Fee: Charged to CE and Graduate students supports general operating expenses of the university, including academic, administrative, student services and facilities. The University Fee is charged at in-state and out-of-state rates based on student status.

Capital Improvement Fee: Supports campus infrastructure maintenance and development, including buildings, grounds, circulation/transportation/parking

SGA Fee: Supports extra-curricular programs and events provided and administered by the student-elected Student Government Association.

International Student Fee: Applicable to all international students who hold a visa provided through the university, including document processing.

CE International Fee: Applicable to Alien temp students in a continuing education program. 

Records Fee: For non-matriculated/non-degree students to support administrative functions, such as transcripts processing.

Matriculation Fee: A fee assessed to each newly matriculated/degree-seeking student during their first semester of registration to support various student-related academic support activities (e.g. orientation program, commencement).

Academic Program Fees: Supports maintenance of subject related additional costs, such as labs and studios, etc. Charged each semester the student is enrolled in the program.

MassPIRG (waivable): MASSPIRG is a statewide, student-directed, student-funded organization that advocates on behalf of students on issues such as affordable higher education, public health, and the environment. Salem State students have voted to fund a MASSPIRG chapter on campus through the $10 waivable fee. More info: www.masspirgstudents.org 

Health Insurance (waivable): Required by MA regulation, every student registered for three-quarters time must be covered by health insurance. Students may waive out of this fee if they maintain comparable, personal coverage using the online waiver process. If no such comparable insurance coverage exists, this fee is charged to purchase appropriate coverage on behalf of the student. The University Health Insurance Plan fee for the academic year is prorated for students entering in the spring semester.

",Understanding your tution and fees.csv
Miscellaneous Fees,"Parking Pass (opt-in): Parking permit fees for the entire academic year are collected in the fall semester. Parking permit fees for the academic year are prorated for students entering in the spring semester. Supports maintenance of parking areas and upkeep of parking systems. 

Housing Fees (opt-in): Supports operation and housing expenses for resident hall students (i.e. occupant’s rent). Rates differ based on the assigned building (e.g. Peabody, Bowditch, etc.) and type of space the student occupies (e.g. single, double).

Accelerated Bachelor of Science in Nursing fee: Supports the administration of this special formatted, accelerated program.

Late Payment Fee: A fee assessed when tuition and fee payment is received after the term's due date.

Late Graduate Application Fee: A fee assessed when an application for degree (undergraduate or graduate) is received after the deadline.

Payment Plan Enrollment Fee: A fee assessed per semester when establishing a monthly payment plan to settle tuition and fee costs.

Professional Liability Insurance: Insurance that protects students from legal action that may arise due to their work in public settings as a part of clinical or practicum experiences.",Understanding your tution and fees.csv
Meal Plans,"All You Care to Eat 7 Day Silver/Gold/Platinum Plan (required with specific residence hall assignment): Resident hall students of Peabody, Bowditch, Marsh and Viking will be assigned the minimum required Silver Plan, however, upgrades to Gold and Platinum are optional. Each plan provides not only the number of meals indicated on a weekly basis but may also include Dining Dollars and ClipperCash.

Block Plan Resident (required with specific residence hall assignment): Resident hall students of Atlantic and Bates halls are enrolled in the Block Plan I Resident meal plan which includes board meals, a $100 portion for Dining Dollars (that can be spent at any SSU Dining location) and $25 in ClipperCash (that can be spent at a number of venues both on and off campus). ",Understanding your tution and fees.csv
Course-Based Fees ,"Lab Fee: Supports the maintenance of laboratory classrooms and related costs.

Clinical Fee: Supports the administration of clinical courses.

Nursing Resource Center Fee: Supports the administrative and maintenance costs within the Center (e.g. testing, supplies, and equipment).

Field Placement Fee for MSW Courses: Supports the administration of field placement courses.

Institute Fee: Supports the administration of institute-formatted (e.g. one week) courses.",Understanding your tution and fees.csv
Undocumented Students,Salem State University welcomes undocumented students of all ethnicities and nationalities. ,Undocumented Students.csv
"Are undocumented students eligible for Massachusetts state or federal financial aid?","At this time, undocumented students are not eligible. We encourage students to look for private scholarships and/or loans.",Undocumented Students.csv
"Are undocumented students eligible for in-state tuition?","In 2012, the governor of Massachusetts announced that students who qualify for the Federal Deferred Action Childhood Arrivals (DACA) program could be charged in-state tuition and fees. In order to be eligible for in-state tuition, applicants must submit a copy of the C-33/DACA card or a copy of the I-797 Notice of Action to the online application. Please be advised that this legislation may change.",Undocumented Students.csv
What do I need to know as a DACA student when applying to Salem State?,"When completing the application you will indicate that you are a Non-U.S. citizen and a Massachusetts resident to qualify for in-state tuition. As a proof of residency, you will attach a copy of a C-33/DACA card or a copy of an I-797 Notice of Action to your online application.",Undocumented Students.csv
Resources for DACA applicants ,"Here are resources for DACA students:                                                                                                                                                      -Red Pine Scholars Program | TPI
-Greater Boston Legal Services
-Student Immigrant Movement
-United We Dream
-American Immigration Lawyers Association
-Massachusetts Immigrant and Refugee Advocacy Coalition
-TheDream.US",Undocumented Students.csv
